7 + 3,10
15 - 6,9
4 x 8,32
18 / 2,9
9 + 5,14
12 - 4,8
6 x 7,42
20 / 5,4
3 + 2,5
10 - 2,8
5 x 9,45
25 / 5,5
8 + 6,14
14 - 7,7
7 x 4,28
30 / 6,5
6 + 2,8
9 - 3,6
3 x 5,15
15 / 3,5
4 + 9,13
20 - 8,12
8 x 3,24
36 / 6,6
5 + 7,12
16 - 9,7
9 x 6,54
45 / 5,9
7 + 8,15
14 - 5,9
4 x 6,24
36 / 9,4
8 + 4,12
10 - 1,9
6 x 5,30
24 / 4,6
3 + 7,10
12 - 2,10
5 x 4,20
40 / 8,5
6 + 9,15
18 - 3,15
8 x 7,56
56 / 8,7
9 + 3,12
20 - 10,10
7 x 9,63
63 / 7,9
2 + 5,7
15 - 5,10
3 x 8,24
32 / 4,8
4 + 2,6
14 - 4,10
5 x 7,35
35 / 5,7
7 + 6,13
16 - 6,10
6 x 8,48
48 / 8,6
8 + 5,13
10 - 3,7
9 x 4,36
36 / 4,9
2 + 8,10
12 - 6,6
3 x 7,21
21 / 3,7
4 + 7,11
14 - 2,12
5 x 3,15
15 / 3,5
6 + 4,10
20 - 5,15
8 x 2,16
16 / 2,8
9 + 7,16
18 - 8,10
7 x 5,35
35 / 5,7
3 + 6,9
12 - 4,8
4 x 5,20
20 / 4,5
5 + 2,7
10 - 1,9
6 x 6,36
36 / 6,6
8 + 7,15
14 - 7,7
9 x 3,27
27 / 3,9
2 + 9,11
15 - 8,7
3 x 9,27
27 / 9,3
4 + 6,10
16 - 5,11
5 x 8,40
40 / 8,5
7 + 4,11
18 - 9,9
6 x 4,24
24 / 4,6
8 + 8,16
20 - 7,13
9 x 5,45
45 / 5,9
2 + 4,6
12 - 3,9
3 x 6,18
18 / 6,3
4 + 3,7
14 - 3,11
5 x 6,30
30 / 6,5
7 + 2,9
10 - 2,8
6 x 3,18
18 / 3,6
8 + 9,17
16 - 6,10
9 x 2,18
18 / 2,9
2 + 7,9
15 - 7,8
3 x 4,12
12 / 4,3
4 + 5,9
16 - 4,12
5 x 5,25
25 / 5,5
